Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Purchase_speakers-1716877517127,1,267,267,267,267,267,267,267,0.000%,3.74532,18.30,3.68
Purchase_speakers-1716877517193,1,231,231,231,231,231,231,231,100.000%,4.32900,1.89,2.73
Purchase_speakers-1716877517254,1,253,253,253,253,253,253,253,0.000%,3.95257,2.59,3.12
Payment-1716877517371,1,244,244,244,244,244,244,244,0.000%,4.09836,4.57,5.17
Purchase_speakers-1716877517438,1,244,244,244,244,244,244,244,0.000%,4.09836,7.54,4.49
Purchase_speakers-1716877517510,1,255,255,255,255,255,255,255,0.000%,3.92157,4.92,4.45
Payment-1716877517638,1,267,267,267,267,267,267,267,100.000%,3.74532,1.59,5.58
Purchase_speakers-1716877517687,1,249,249,249,249,249,249,249,0.000%,4.01606,7.12,4.38
Purchase_speakers-1716877517738,1,231,231,231,231,231,231,231,0.000%,4.32900,5.80,1.79
Purchase_speakers-1716877517912,1,225,225,225,225,225,225,225,100.000%,4.44444,1.87,1.90
Purchase_speakers-1716877517973,1,233,233,233,233,233,233,233,0.000%,4.29185,20.97,4.21
Purchase_speakers-1716877518159,1,247,247,247,247,247,247,247,0.000%,4.04858,2.65,3.20
Payment-1716877518212,1,238,238,238,238,238,238,238,0.000%,4.20168,4.69,5.31
Purchase_speakers-1716877518404,1,244,244,244,244,244,244,244,0.000%,4.09836,5.14,4.65
Payment-1716877518446,1,233,233,233,233,233,233,233,100.000%,4.29185,1.80,6.40
Purchase_speakers-1716877518630,1,226,226,226,226,226,226,226,0.000%,4.42478,5.93,1.83
Purchase_speakers-1716877518867,1,238,238,238,238,238,238,238,0.000%,4.20168,20.51,4.12
Payment-1716877519109,1,242,242,242,242,242,242,242,0.000%,4.13223,4.61,5.22
Payment-1716877519341,1,231,231,231,231,231,231,231,100.000%,4.32900,1.83,6.45
Logout-1716877520137,1,790,790,790,790,790,790,790,0.000%,1.26582,1.42,1.38
Logout,10,759,753,790,790,795,717,795,0.000%,.01110,0.01,0.01
Logout-1716877521104,1,746,746,746,746,746,746,746,0.000%,1.34048,1.50,1.46
Logout-1716877522093,1,746,746,746,746,746,746,746,0.000%,1.34048,1.50,1.46
Logout-1716877523073,1,717,717,717,717,717,717,717,0.000%,1.39470,1.56,1.52
Logout-1716877524089,1,742,742,742,742,742,742,742,0.000%,1.34771,1.51,1.47
Launch-1716878393284,1,1057,1057,1057,1057,1057,1057,1057,0.000%,.94607,3.11,0.44
Launch-1716878393523,1,238,238,238,238,238,238,238,0.000%,4.20168,4.90,1.83
Launch-1716878393769,1,243,243,243,243,243,243,243,0.000%,4.11523,5.54,1.60
Launch-1716878393855,1,699,699,699,699,699,699,699,0.000%,1.43062,4.71,0.67
Launch-1716878394073,1,302,302,302,302,302,302,302,0.000%,3.31126,22.55,1.49
Launch-1716878394106,1,250,250,250,250,250,250,250,0.000%,4.00000,4.67,1.74
Launch-1716878394339,2,248,232,264,264,264,232,264,0.000%,7.57576,10.90,5.36
Launch-1716878394597,1,257,257,257,257,257,257,257,0.000%,3.89105,26.50,1.75
Launch-1716878394830,1,490,490,490,490,490,490,490,0.000%,2.04082,10.45,0.87
Launch-1716878394851,1,252,252,252,252,252,252,252,0.000%,3.96825,6.08,4.07
Launch-1716878394877,1,727,727,727,727,727,727,727,0.000%,1.37552,4.52,0.64
Launch-1716878395113,1,236,236,236,236,236,236,236,0.000%,4.23729,4.94,1.84
Launch-1716878395307,1,455,455,455,455,455,455,455,0.000%,2.19780,11.22,0.93
Launch-1716878395310,1,479,479,479,479,479,479,479,0.000%,2.08768,1.60,0.93
Launch-1716878395353,1,238,238,238,238,238,238,238,0.000%,4.20168,5.65,1.64
Launch-1716878395573,1,261,261,261,261,261,261,261,0.000%,3.83142,3.61,1.66
Launch-1716878395622,1,267,267,267,267,267,267,267,0.000%,3.74532,25.51,1.69
Launch-1716878395805,1,497,497,497,497,497,497,497,0.000%,2.01207,1.54,0.89
Launch-1716878395815,1,240,240,240,240,240,240,240,0.000%,4.16667,10.99,1.67
Launch-1716878395867,1,244,244,244,244,244,244,244,0.000%,4.09836,6.28,4.20
Launch-1716878395898,1,750,750,750,750,750,750,750,0.000%,1.33333,4.39,0.62
Launch-1716878396053,1,246,246,246,246,246,246,246,0.000%,4.06504,3.83,1.76
Launch-1716878396210,1,311,311,311,311,311,311,311,0.000%,3.21543,3.75,1.40
Launch-1716878396284,1,229,229,229,229,229,229,229,0.000%,4.36681,11.52,1.75
Launch-1716878396356,1,487,487,487,487,487,487,487,0.000%,2.05339,10.50,0.87
Launch-1716878396441,1,229,229,229,229,229,229,229,0.000%,4.36681,5.88,1.70
Launch-1716878396538,1,720,720,720,720,720,720,720,0.000%,1.38889,87.21,0.62
